"","species","category","hypothesis","code","name","iucn_name","n_ex_total","num_experts_rel","cvoi_mean","cvoi_lci","cvoi_uci","red_mean","red_lci","red_uci","rel_a_mean","rel_a_lci","rel_a_uci","rel_b_mean","rel_b_lci","rel_b_uci","rel_both_mean","rel_both_lci","rel_both_uci","mag_mean","mag_lci","mag_uci"
"1","ASSP","Disturbance",1,"H1","Overflights","Transportation & service corridors",12,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"2","ASSP","Disturbance",2,"H2","Recreation","Human intrusions & disturbance",12,10,0.6875,0,1.5,2.7,2,3.55,1.33333333333333,0,3,2.25,0,3,0.916666666666667,0,2.25,0.916666666666667,0,2
"3","ASSP","Fisheries",3,"H3","Fishery Equipment","Biological resource use",12,9,0.9375,0,3.0375,1.66666666666667,0,3,0.833333333333333,0,1.45,1.25,0,3.45,0.333333333333333,0,0.8625,2,0,4
"4","ASSP","Fisheries",4,"H4","Overfishing","Biological resource use",12,8,1.33333333333333,0,3.675,1.625,0.35,3,1.08333333333333,0,3,1.16666666666667,0,3,0.479166666666667,0,1.5,1.91666666666667,0,3.45
"5","ASSP","Harmful native species interactions",5,"H5","Native Predators","Invasive & other problematic species, genes & diseases",12,11,1.125,0,3.45,3.45454545454545,2,4,2.16666666666667,0.55,3,2.33333333333333,0.55,3.45,1.4375,0.1375,2.25,0.666666666666667,0,2
"6","ASSP","Harmful native species interactions",6,"H6","Pinnipeds","Invasive & other problematic species, genes & diseases",12,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"7","ASSP","Harmful native species interactions",7,"H7","Seabird Colonization","Invasive & other problematic species, genes & diseases",12,8,0.375,0,1.3125,1.25,0,2,0.75,0,1.45,0.5,0,1.45,0.166666666666667,0,0.5875,1.83333333333333,0,3.45
"8","ASSP","Human infrastructure",8,"H8","Oil Platforms","Energy production & mining",12,8,0.666666666666667,0,2.575,1.875,1,3,0.916666666666667,0,2.45,0.75,0,2,0.270833333333333,0,0.949999999999999,1.5,0,3
"9","ASSP","Human infrastructure",9,"H9","Offshore Wind","Energy production & mining",12,11,1.97916666666667,0.4125,3.675,2.54545454545455,2,3.5,1.5,0.55,3,1.91666666666667,0.55,2.9,0.729166666666667,0.275,1.225,2.41666666666667,0.55,3
"10","ASSP","Human infrastructure",10,"H10","Shipping Traffic","Transportation & service corridors",12,6,0.541666666666667,0,2.175,1.66666666666667,0.25,3,0.583333333333333,0,1.45,0.583333333333333,0,2,0.1875,0,0.725,1.5,0,3.45
"11","ASSP","Human infrastructure",11,"H11","Artificial Light","Pollution",12,11,1.29166666666667,0,4.5,2,0.5,3,1.91666666666667,0.55,3,2.25,0.55,3.45,1.22916666666667,0.1375,2.25,0.833333333333333,0,2.45
"12","ASSP","Invasive species",12,"H12","Invasive Plants","Invasive & other problematic species, genes & diseases",12,7,0.604166666666667,0,1.8375,2.57142857142857,2,3,0.916666666666667,0,3,1.33333333333333,0,3,0.583333333333333,0,2.25,0.916666666666667,0,2
"13","ASSP","Invasive species",13,"H13","Black Rats","Invasive & other problematic species, genes & diseases",12,11,2.5,0,6,3,1,4,2.5,0.55,3.45,3.25,0.55,4,2.3125,0.1375,3.45,1.08333333333333,0,2.45
"14","ASSP","Invasive species",14,"H14","New Invasive Species","Invasive & other problematic species, genes & diseases",12,12,1.33333333333333,0,5.175,2.66666666666667,0.55,4,2.83333333333333,2,4,3.5,2.55,4,2.52083333333333,1.275,4,0.5,0,2
"15","ASSP","Pollution",15,"H15","Oil Spills","Pollution",12,12,0.229166666666667,0,1.175,1.66666666666667,0,3.45,1.91666666666667,1,3.45,1.25,0,2,0.645833333333333,0,1.45,0.416666666666667,0,1.45
"16","ASSP","Pollution",16,"H16","Residual DDT","Pollution",12,11,0.291666666666667,0,1.725,2.54545454545455,0.5,4,1.25,0.55,2,0.75,0,2.9,0.25,0,1,1.33333333333333,0,3
