"species","hypothesis","code","name","iucn_name","mean_cvoi","mean_red","cvoi_lci","cvoi_uci","red_lci","red_uci","robustness_score","sensitivity_cat"
"ASSP",1,"H1","Overflights","Transportation & service corridors",0,NA,0,0,NA,NA,0,"Highly Sensitive"
"ASSP",2,"H2","Recreation","Human intrusions & disturbance",0.695416666666667,2.70974805194805,0.395833333333333,1,2.36363636363636,3.09090909090909,88.4,"Moderately Sensitive"
"ASSP",3,"H3","Fishery Equipment","Biological resource use",0.924,1.67286872294372,0.458333333333333,1.50104166666667,1,2.3,83.1,"Moderately Sensitive"
"ASSP",4,"H4","Overfishing","Biological resource use",1.34791666666667,1.62370873015873,0.6875,2.06354166666667,1,2.25,90.6,"Robust"
"ASSP",5,"H5","Native Predators","Invasive & other problematic species, genes & diseases",1.13935416666667,3.46938744588745,0.5,1.83333333333333,3,3.81818181818182,95.5,"Robust"
"ASSP",6,"H6","Pinnipeds","Invasive & other problematic species, genes & diseases",0,NA,0,0,NA,NA,0,"Highly Sensitive"
"ASSP",7,"H7","Seabird Colonization","Invasive & other problematic species, genes & diseases",0.377458333333333,1.23913607503607,0.125,0.666666666666667,0.714285714285714,1.75,77.2,"Moderately Sensitive"
"ASSP",8,"H8","Oil Platforms","Energy production & mining",0.679583333333333,1.8758670995671,0.208333333333333,1.33333333333333,1.44444444444444,2.375,54.4,"Highly Sensitive"
"ASSP",9,"H9","Offshore Wind","Energy production & mining",1.99075,2.54777492784993,1.39583333333333,2.56354166666667,2.25,2.90909090909091,98.8,"Robust"
"ASSP",10,"H10","Shipping Traffic","Transportation & service corridors",0.543458333333333,1.68248427128427,0.1875,1,1,2.5,39.4,"Highly Sensitive"
"ASSP",11,"H11","Artificial Light","Pollution",1.33625,2.0047465007215,0.479166666666667,2.33333333333333,1.58333333333333,2.41666666666667,64.2,"Highly Sensitive"
"ASSP",12,"H12","Invasive Plants","Invasive & other problematic species, genes & diseases",0.597291666666667,2.57746031746032,0.291666666666667,0.958333333333333,2.25,2.875,67.2,"Highly Sensitive"
"ASSP",13,"H13","Black Rats","Invasive & other problematic species, genes & diseases",2.50702083333333,3.02491154401154,1.375,3.6875,2.41666666666667,3.62556818181818,98.4,"Robust"
"ASSP",14,"H14","New Invasive Species","Invasive & other problematic species, genes & diseases",1.342125,2.67758333333333,0.497916666666667,2.37708333333333,2.08333333333333,3.25,88.5,"Moderately Sensitive"
"ASSP",15,"H15","Oil Spills","Pollution",0.238583333333333,1.67375,0.0208333333333333,0.5625,1.08333333333333,2.33333333333333,81.9,"Moderately Sensitive"
"ASSP",16,"H16","Residual DDT","Pollution",0.305875,2.55002121212121,0,0.625,1.81818181818182,3.25,67.2,"Highly Sensitive"
"ASSP",17,"H17","Contaminants","Pollution",0.558125,1.83875,0.166666666666667,1.08333333333333,1.41666666666667,2.25,46.7,"Highly Sensitive"
"ASSP",18,"H18","Sea Level Rise","Climate change & severe weather",0.856916666666667,2.2906101010101,0.354166666666667,1.52083333333333,1.8,2.75,61.5,"Highly Sensitive"
"ASSP",19,"H19","Marine Productivity","Climate change & severe weather",0,1.92275,0,0,1.41666666666667,2.5,74.1,"Highly Sensitive"
"ASSP",20,"H20","Sea Surface Temperature","Climate change & severe weather",0,2.09466666666667,0,0,1.58333333333333,2.58333333333333,53.1,"Highly Sensitive"
"ASSP",21,"H21","Precipitation","Climate change & severe weather",0.086,2.03665306122449,0,0.25,1,3,50.2,"Highly Sensitive"
"ASSP",22,"H22","Ambient Temperature","Climate change & severe weather",0.38425,2.34754963924964,0.0833333333333333,0.708333333333333,1.57142857142857,3.14285714285714,46.4,"Highly Sensitive"
"ASSP",23,"H23","Marine Heat Waves","Climate change & severe weather",0,2.18838279220779,0,0,1.7,2.72727272727273,56.5,"Highly Sensitive"
"ASSP",24,"H24","Storm Events","Climate change & severe weather",0.845166666666667,1.91281262626263,0.208333333333333,1.56354166666667,1.33333333333333,2.54545454545455,57.9,"Highly Sensitive"
"ASSP",25,"H25","Wind","Climate change & severe weather",0,1.64527795815296,0,0,1.22111111111111,2.09090909090909,96.8,"Robust"
"ASSP",26,"H26","Harmful Algal Blooms","Invasive & other problematic species, genes & diseases",0.261791666666667,1.461245995671,0,0.75,1,1.91666666666667,76.4,"Moderately Sensitive"
"ASSP",27,"H27","Disease","Invasive & other problematic species, genes & diseases",0.684666666666667,2.27936634199134,0.291666666666667,1.16666666666667,1.77777777777778,2.8,53.7,"Highly Sensitive"
"ASSP",28,"H28","Parasites","Invasive & other problematic species, genes & diseases",0.0820833333333333,1.78514285714286,0,0.166666666666667,1.36363636363636,2.25,90.5,"Robust"
"BRPE",1,"H1","Overflights","Transportation & service corridors",1.1795625,3.28423953823954,0.625,1.815625,2.81727272727273,3.72727272727273,98.6,"Robust"
"BRPE",2,"H2","Recreation","Human intrusions & disturbance",1.22647916666667,3.19243066378066,0.625,1.91666666666667,2.81818181818182,3.54545454545455,98.5,"Robust"
"BRPE",3,"H3","Fishery Equipment","Biological resource use",0.6088125,2.50625,0.229166666666667,1.04166666666667,2.16666666666667,2.83333333333333,64.5,"Highly Sensitive"
"BRPE",4,"H4","Overfishing","Biological resource use",2.08016666666667,1.98708888888889,1.1875,3.08333333333333,1.54545454545455,2.4,71.2,"Highly Sensitive"
"BRPE",5,"H5","Native Predators","Invasive & other problematic species, genes & diseases",0.513666666666667,2.84372994227994,0.166666666666667,0.916666666666667,2,3.7,48,"Highly Sensitive"
"BRPE",6,"H6","Pinnipeds","Invasive & other problematic species, genes & diseases",0.169541666666667,2.67401304497082,0.0416666666666667,0.333333333333333,2,3,88.2,"Moderately Sensitive"
"BRPE",7,"H7","Seabird Colonization","Invasive & other problematic species, genes & diseases",0.102354166666667,2.48232788247894,0,0.229166666666667,2,3.33333333333333,61.9,"Highly Sensitive"
"BRPE",8,"H8","Oil Platforms","Energy production & mining",0.26075,2,0,0.625,2,2,74.9,"Highly Sensitive"
"BRPE",9,"H9","Offshore Wind","Energy production & mining",1.52541666666667,2.81772694805195,1.04166666666667,2,2.41666666666667,3.2,99.9,"Robust"
"BRPE",10,"H10","Shipping Traffic","Transportation & service corridors",0.522541666666667,1.64036193480638,0.145833333333333,1,0.8,2.4,36.4,"Highly Sensitive"
"BRPE",11,"H11","Artificial Light","Pollution",0.2700625,1.49337827500478,0.0833333333333333,0.520833333333333,1,2,92.9,"Robust"
"BRPE",12,"H12","Invasive Plants","Invasive & other problematic species, genes & diseases",0.751104166666667,2.82016262626263,0.5,1,2.54545454545455,3.1,95.5,"Robust"
"BRPE",13,"H13","Black Rats","Invasive & other problematic species, genes & diseases",1.0025,4,0,2,4,4,89.5,"Moderately Sensitive"
"BRPE",14,"H14","New Invasive Species","Invasive & other problematic species, genes & diseases",1.63058333333333,2.58925,0.708333333333333,2.625,2,3.16666666666667,90.1,"Robust"
"BRPE",15,"H15","Oil Spills","Pollution",0.2695625,1.81258333333333,0.0416666666666667,0.604166666666667,1.08333333333333,2.42083333333333,69.6,"Highly Sensitive"
"BRPE",16,"H16","Residual DDT","Pollution",0,2.64716666666667,0,0,2,3.25,89.1,"Moderately Sensitive"
"BRPE",17,"H17","Contaminants","Pollution",0.415,2.0839369047619,0.125,0.75,1.63579545454545,2.5,39.2,"Highly Sensitive"
"BRPE",18,"H18","Sea Level Rise","Climate change & severe weather",0.20475,2.37347852903408,0.0833333333333333,0.335416666666665,1.4,3.33333333333333,67.4,"Highly Sensitive"
"BRPE",19,"H19","Marine Productivity","Climate change & severe weather",0,1.98383333333333,0,0,1.5,2.5,68.1,"Highly Sensitive"
"BRPE",20,"H20","Sea Surface Temperature","Climate change & severe weather",0,2.156,0,0,1.66666666666667,2.58333333333333,56.8,"Highly Sensitive"
"BRPE",21,"H21","Precipitation","Climate change & severe weather",1.02577083333333,2.11247878787879,0.375,1.75,1.54545454545455,2.66666666666667,43,"Highly Sensitive"
"BRPE",22,"H22","Ambient Temperature","Climate change & severe weather",0.421541666666667,2.26838088023088,0.125,0.75,1.875,2.66833333333333,38.6,"Highly Sensitive"
"BRPE",23,"H23","Marine Heat Waves","Climate change & severe weather",0,1.9855,0,0,1.5,2.5,68.7,"Highly Sensitive"
"BRPE",24,"H24","Storm Events","Climate change & severe weather",0.376125,2.19137124819625,0.166666666666667,0.625,1.57063492063492,2.81818181818182,38,"Highly Sensitive"
"BRPE",25,"H25","Wind","Climate change & severe weather",0,1.62605631313131,0,0,1.18181818181818,2,97.6,"Robust"
"BRPE",26,"H26","Harmful Algal Blooms","Invasive & other problematic species, genes & diseases",0.2774375,1.65441666666667,0.0208333333333333,0.770833333333333,1.16666666666667,2.16666666666667,73.2,"Highly Sensitive"
"BRPE",27,"H27","Disease","Invasive & other problematic species, genes & diseases",0.687458333333333,2.61594383116883,0.291666666666667,1.16666666666667,2.16666666666667,3,73.1,"Highly Sensitive"
"BRPE",28,"H28","Parasites","Invasive & other problematic species, genes & diseases",0.126458333333333,1.98962391774892,0.0416666666666667,0.25,1.5827380952381,2.4,73.7,"Highly Sensitive"
"CAAU",1,"H1","Overflights","Transportation & service corridors",0,NA,0,0,NA,NA,0,"Highly Sensitive"
"CAAU",2,"H2","Recreation","Human intrusions & disturbance",0.917318181818182,2.30159015151515,0.590909090909091,1.25,1.8,2.88888888888889,66,"Highly Sensitive"
"CAAU",3,"H3","Fishery Equipment","Biological resource use",0.744045454545455,1.74009844877345,0.431818181818182,1.09090909090909,1,2.44722222222222,73.6,"Highly Sensitive"
"CAAU",4,"H4","Overfishing","Biological resource use",1.22890909090909,1.58705068542569,0.613636363636364,1.90909090909091,1,2.20111111111111,89.3,"Moderately Sensitive"
