"","species","category","hypothesis","code","name","iucn_name","n_ex_total","num_experts_rel","cvoi_mean","cvoi_lci","cvoi_uci","red_mean","red_lci","red_uci","rel_a_mean","rel_a_lci","rel_a_uci","rel_b_mean","rel_b_lci","rel_b_uci","rel_both_mean","rel_both_lci","rel_both_uci","mag_mean","mag_lci","mag_uci"
"1","BRPE","Disturbance",1,"H1","Overflights","Transportation & service corridors",12,11,1.1875,0,3.675,3.27272727272727,1.5,4,1.5,0.55,2.9,2.75,1.65,3,1.125,0.4125,2.175,0.833333333333333,0,1.9
"2","BRPE","Disturbance",2,"H2","Recreation","Human intrusions & disturbance",12,11,1.22916666666667,0,3.675,3.18181818181818,2,4,2,0.55,3,2.75,1.1,3.45,1.54166666666667,0.275,2.5875,0.75,0,1.45
"3","BRPE","Fisheries",3,"H3","Fishery Equipment","Biological resource use",12,12,0.604166666666667,0,2.175,2.5,1.55,3.45,1.75,1,3.45,2,1,3,0.854166666666667,0.25,1.5,0.666666666666667,0,2
"4","BRPE","Fisheries",4,"H4","Overfishing","Biological resource use",12,11,2.0625,0,5.5125,2,1,3,2.5,0.55,4,2.08333333333333,0.55,3,1.47916666666667,0.275,2.5875,1.33333333333333,0,3
"5","BRPE","Harmful native species interactions",5,"H5","Native Predators","Invasive & other problematic species, genes & diseases",12,7,0.520833333333333,0,2.25,2.85714285714286,1,4,0.833333333333333,0,2.45,1.16666666666667,0,3,0.458333333333333,0,1.5625,0.75,0,2.45
"6","BRPE","Harmful native species interactions",6,"H6","Pinnipeds","Invasive & other problematic species, genes & diseases",12,3,0.166666666666667,0,0.725,2.66666666666667,2.1,3,0.25,0,1,0.416666666666667,0,2,0.104166666666667,0,0.5,0.416666666666667,0,2
"7","BRPE","Harmful native species interactions",7,"H7","Seabird Colonization","Invasive & other problematic species, genes & diseases",12,4,0.104166666666667,0,0.6125,2.5,2,3.7,0.333333333333333,0,1,0.25,0,1.45,0.0625,0,0.3625,0.916666666666667,0,3.45
"8","BRPE","Human infrastructure",8,"H8","Oil Platforms","Energy production & mining",12,2,0.25,0,1.425,2,2,2,0.166666666666667,0,1,0.333333333333333,0,1.9,0.0833333333333333,0,0.475,0.5,0,3
"9","BRPE","Human infrastructure",9,"H9","Offshore Wind","Energy production & mining",12,11,1.54166666666667,0,3,2.81818181818182,2,4,1.41666666666667,0.55,2.45,1.83333333333333,0,3,0.645833333333333,0,1.225,2.08333333333333,0.55,3
"10","BRPE","Human infrastructure",10,"H10","Shipping Traffic","Transportation & service corridors",12,6,0.541666666666667,0,2.175,1.66666666666667,0.25,3,0.583333333333333,0,1.45,0.583333333333333,0,2,0.1875,0,0.725,1.5,0,3.45
"11","BRPE","Human infrastructure",11,"H11","Artificial Light","Pollution",12,4,0.270833333333333,0,1.0875,1.5,1,2,0.333333333333333,0,1,0.5,0,1.9,0.125,0,0.475,0.75,0,3
"12","BRPE","Invasive species",12,"H12","Invasive Plants","Invasive & other problematic species, genes & diseases",12,11,0.75,0,1.5,2.81818181818182,2,3.5,1.16666666666667,0.55,2,2.08333333333333,0.55,3,0.6875,0.1375,1.5,1.25,0,2
"13","BRPE","Invasive species",13,"H13","Black Rats","Invasive & other problematic species, genes & diseases",12,2,1,0,6,4,4,4,0.333333333333333,0,2,0.666666666666667,0,4,0.333333333333333,0,2,0.5,0,3
"14","BRPE","Invasive species",14,"H14","New Invasive Species","Invasive & other problematic species, genes & diseases",12,12,1.625,0,5.175,2.58333333333333,0.55,4,2.33333333333333,1,3.45,3.41666666666667,2.55,4,2.02083333333333,0.775,3.45,0.916666666666667,0,2.45
"15","BRPE","Pollution",15,"H15","Oil Spills","Pollution",12,12,0.270833333333333,0,1.2875,1.83333333333333,0,3.45,2.41666666666667,1.55,3.45,1.33333333333333,0,2.45,0.833333333333333,0,2.1125,0.333333333333333,0,1
"16","BRPE","Pollution",16,"H16","Residual DDT","Pollution",12,12,0,0,0,2.66666666666667,0.55,4,2.16666666666667,1,3.45,0.833333333333333,0,3.45,0.604166666666667,0,2.45,0.916666666666667,0,3
"17","BRPE","Pollution",17,"H17","Contaminants","Pollution",12,11,0.416666666666667,0,1.725,2.09090909090909,0.5,3,1.33333333333333,0.55,2.45,0.583333333333333,0,2,0.1875,0,0.725,2.25,1.1,3
"18","BRPE","Projected climate change impacts",18,"H18","Sea Level Rise","Climate change & severe weather",12,5,0.208333333333333,0,0.725,2.4,1,3.8,0.583333333333333,0,2,0.416666666666667,0,1.45,0.125,0,0.5,0.666666666666667,0,2
"19","BRPE","Projected climate change impacts",19,"H19","Marine Productivity","Climate change & severe weather",12,12,0,0,0,2,0.55,3.45,2.5,1.55,4,0,0,0,0,0,0,1.08333333333333,0,2
"20","BRPE","Projected climate change impacts",20,"H20","Sea Surface Temperature","Climate change & severe weather",12,12,0,0,0,2.16666666666667,0.55,3.45,2.41666666666667,1,4,0,0,0,0,0,0,1.25,0,2.45
"21","BRPE","Projected climate change impacts",21,"H21","Precipitation","Climate change & severe weather",12,9,1.02083333333333,0,3.675,2.11111111111111,1,3,1.25,0,3,0.916666666666667,0,2.45,0.416666666666667,0,1.5,1.41666666666667,0,3
"22","BRPE","Projected climate change impacts",22,"H22","Ambient Temperature","Climate change & severe weather",12,11,0.416666666666667,0,1.725,2.27272727272727,1,3.5,1.58333333333333,0.55,3,0.5,0,1.45,0.229166666666667,0,0.8625,1.75,0,3
"23","BRPE","Projected climate change impacts",23,"H23","Marine Heat Waves","Climate change & severe weather",12,12,0,0,0,2,1,3.45,2.25,1,3,0,0,0,0,0,0,1.25,0.55,2
"24","BRPE","Projected climate change impacts",24,"H24","Storm Events","Climate change & severe weather",12,10,0.375,0,1.225,2.2,0.45,4,1.33333333333333,0,2.45,0.5,0,1.45,0.208333333333333,0,0.5,1.41666666666667,0,2.45
"25","BRPE","Projected climate change impacts",25,"H25","Wind","Climate change & severe weather",12,11,0,0,0,1.63636363636364,0.5,3,2,0.55,3,0,0,0,0,0,0,2.16666666666667,0.55,3
"26","BRPE","Toxins/diseases/parasites",26,"H26","Harmful Algal Blooms","Invasive & other problematic species, genes & diseases",12,12,0.291666666666667,0,1.4875,1.66666666666667,0.55,3,1.5,1,2.45,0.333333333333333,0,1.45,0.125,0,0.5875,1.75,1,3
"27","BRPE","Toxins/diseases/parasites",27,"H27","Disease","Invasive & other problematic species, genes & diseases",12,11,0.6875,0,2.175,2.63636363636364,1,3.5,2.58333333333333,0.55,4,0.75,0,1.45,0.541666666666667,0,1.45,1.58333333333333,0,3
"28","BRPE","Toxins/diseases/parasites",28,"H28","Parasites","Invasive & other problematic species, genes & diseases",12,10,0.125,0,0.5,2,1,3,1,0,2,0.25,0,1,0.0625,0,0.25,2.16666666666667,0,3
