"","species","category","hypothesis","code","name","iucn_name","n_ex_total","num_experts_rel","cvoi_mean","cvoi_lci","cvoi_uci","red_mean","red_lci","red_uci","rel_a_mean","rel_a_lci","rel_a_uci","rel_b_mean","rel_b_lci","rel_b_uci","rel_both_mean","rel_both_lci","rel_both_uci","mag_mean","mag_lci","mag_uci"
"1","CAAU","Disturbance",1,"H1","Overflights","Transportation & service corridors",11,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"2","CAAU","Disturbance",2,"H2","Recreation","Human intrusions & disturbance",11,10,0.931818181818182,0,1.875,2.3,1,4,1,0.5,1.5,2.45454545454545,0.5,3.5,0.681818181818182,0.125,1.25,1.36363636363636,0,2.5
"3","CAAU","Fisheries",3,"H3","Fishery Equipment","Biological resource use",11,8,0.75,0,1.875,1.75,0,3,0.909090909090909,0,2,1,0,2.5,0.295454545454545,0,0.625,1.90909090909091,0,3.5
"4","CAAU","Fisheries",4,"H4","Overfishing","Biological resource use",11,7,1.25,0,3.75,1.57142857142857,0.3,3,1.09090909090909,0,3,1.18181818181818,0,3,0.5,0,1.5,1.72727272727273,0,3.5
"5","CAAU","Harmful native species interactions",5,"H5","Native Predators","Invasive & other problematic species, genes & diseases",11,11,0.977272727272727,0,3.125,2.90909090909091,1,4,1.81818181818182,1,3,2.18181818181818,1,3.5,1.04545454545455,0.25,2.125,0.818181818181818,0,1.5
"6","CAAU","Harmful native species interactions",6,"H6","Pinnipeds","Invasive & other problematic species, genes & diseases",11,3,0.0909090909090909,0,0.5,3,2.1,3.9,0.272727272727273,0,1,0.636363636363636,0,2.5,0.159090909090909,0,0.625,0.181818181818182,0,1
"7","CAAU","Harmful native species interactions",7,"H7","Seabird Colonization","Invasive & other problematic species, genes & diseases",11,6,0.431818181818182,0,1.375,1.16666666666667,0,2,0.636363636363636,0,1.5,0.545454545454545,0,1.5,0.181818181818182,0,0.625,1.54545454545455,0,3.5
"8","CAAU","Human infrastructure",8,"H8","Oil Platforms","Energy production & mining",11,8,0.681818181818182,0,2.75,1.875,1,3,1.09090909090909,0,2.5,0.727272727272727,0,2,0.318181818181818,0,1.25,1.27272727272727,0,2.5
"9","CAAU","Human infrastructure",9,"H9","Offshore Wind","Energy production & mining",11,9,1.27272727272727,0,3.75,2.44444444444444,2,3.6,1.18181818181818,0,2.5,1.27272727272727,0,2,0.454545454545455,0,1.25,2.27272727272727,0,3
"10","CAAU","Human infrastructure",10,"H10","Shipping Traffic","Transportation & service corridors",11,6,0.590909090909091,0,2.25,1.5,0.25,3,0.636363636363636,0,1.5,0.636363636363636,0,2,0.204545454545455,0,0.75,1.63636363636364,0,3.5
