"","species","hypothesis","code","name","iucn_name","mean_cvoi","mean_red","cvoi_lci","cvoi_uci","red_lci","red_uci","robustness_score","sensitivity_cat"
"1","ASSP",1,"H1","Overflights","Transportation & service corridors",0,NA,0,0,NA,NA,0,"Highly Sensitive"
"2","ASSP",2,"H2","Recreation","Human intrusions & disturbance",0.694354166666667,2.70277453102453,0.436458333333333,0.958333333333333,2.36363636363636,3.08333333333333,87.5,"Moderately Sensitive"
"3","ASSP",3,"H3","Fishery Equipment","Biological resource use",0.938875,1.66321006493506,0.458333333333333,1.54166666666667,1,2.3,83.2,"Moderately Sensitive"
"4","ASSP",4,"H4","Overfishing","Biological resource use",1.33620833333333,1.63108643578644,0.748958333333333,1.95833333333333,1,2.25,92,"Robust"
"5","ASSP",5,"H5","Native Predators","Invasive & other problematic species, genes & diseases",1.141,3.46057366522367,0.5,1.81354166666667,3.08333333333333,3.83333333333333,94.7,"Robust"
"6","ASSP",6,"H6","Pinnipeds","Invasive & other problematic species, genes & diseases",0,NA,0,0,NA,NA,0,"Highly Sensitive"
"7","ASSP",7,"H7","Seabird Colonization","Invasive & other problematic species, genes & diseases",0.380895833333333,1.25602067099567,0.145833333333333,0.6875,0.75,1.72840909090909,79.5,"Moderately Sensitive"
"8","ASSP",8,"H8","Oil Platforms","Energy production & mining",0.685083333333333,1.87677485569986,0.208333333333333,1.375,1.42857142857143,2.33333333333333,52.6,"Highly Sensitive"
"9","ASSP",9,"H9","Offshore Wind","Energy production & mining",1.98622916666667,2.5419534992785,1.41666666666667,2.58333333333333,2.25,2.9,98.9,"Robust"
"10","ASSP",10,"H10","Shipping Traffic","Transportation & service corridors",0.547729166666667,1.65940725108225,0.1875,1,0.857142857142857,2.42857142857143,40.7,"Highly Sensitive"
"11","ASSP",11,"H11","Artificial Light","Pollution",1.32541666666667,1.99574711399711,0.479166666666667,2.31354166666667,1.58333333333333,2.36363636363636,65.2,"Highly Sensitive"
"12","ASSP",12,"H12","Invasive Plants","Invasive & other problematic species, genes & diseases",0.6019375,2.57441414141414,0.291666666666667,0.979166666666667,2.25,2.85714285714286,64.6,"Highly Sensitive"
"13","ASSP",13,"H13","Black Rats","Invasive & other problematic species, genes & diseases",2.52410416666667,3.0037654040404,1.33229166666667,3.6875,2.39818181818182,3.55694444444444,99.2,"Robust"
"14","ASSP",14,"H14","New Invasive Species","Invasive & other problematic species, genes & diseases",1.35479166666667,2.6715,0.458333333333333,2.375,2.08333333333333,3.25,85.8,"Moderately Sensitive"
"15","ASSP",15,"H15","Oil Spills","Pollution",0.2345,1.66458333333333,0.0208333333333333,0.520833333333333,1,2.33333333333333,84.5,"Moderately Sensitive"
"16","ASSP",16,"H16","Residual DDT","Pollution",0.301708333333333,2.54163560606061,0,0.625,1.81727272727273,3.25,68.7,"Highly Sensitive"
"17","ASSP",17,"H17","Contaminants","Pollution",0.544416666666667,1.83525,0.166666666666667,1,1.33333333333333,2.25,39.6,"Highly Sensitive"
"18","ASSP",18,"H18","Sea Level Rise","Climate change & severe weather",0.852229166666667,2.28031313131313,0.375,1.45833333333333,1.81818181818182,2.75,61.4,"Highly Sensitive"
"19","ASSP",19,"H19","Marine Productivity","Climate change & severe weather",0,1.91375,0,0,1.41666666666667,2.41666666666667,73.2,"Highly Sensitive"
"20","ASSP",20,"H20","Sea Surface Temperature","Climate change & severe weather",0,2.08058333333333,0,0,1.58333333333333,2.50416666666666,55.1,"Highly Sensitive"
"21","ASSP",21,"H21","Precipitation","Climate change & severe weather",0.0855,2.02593314914134,0,0.25,1,3,52.2,"Highly Sensitive"
"22","ASSP",22,"H22","Ambient Temperature","Climate change & severe weather",0.386,2.32879848484848,0.0833333333333333,0.75,1.6,3.125,46.2,"Highly Sensitive"
"23","ASSP",23,"H23","Marine Heat Waves","Climate change & severe weather",0,2.18782922077922,0,0,1.72727272727273,2.7,56.5,"Highly Sensitive"
"24","ASSP",24,"H24","Storm Events","Climate change & severe weather",0.837979166666667,1.90070075757576,0.208333333333333,1.5625,1.36363636363636,2.5,56.1,"Highly Sensitive"
"25","ASSP",25,"H25","Wind","Climate change & severe weather",0,1.63857752525253,0,0,1.2,2.08333333333333,97.5,"Robust"
"26","ASSP",26,"H26","Harmful Algal Blooms","Invasive & other problematic species, genes & diseases",0.261395833333333,1.45743077200577,0,0.75,1,1.90909090909091,81.3,"Moderately Sensitive"
"27","ASSP",27,"H27","Disease","Invasive & other problematic species, genes & diseases",0.671270833333333,2.26873856421356,0.291666666666667,1.10416666666667,1.79888888888889,2.75,51.2,"Highly Sensitive"
"28","ASSP",28,"H28","Parasites","Invasive & other problematic species, genes & diseases",0.0840416666666667,1.77346500721501,0,0.166666666666667,1.33333333333333,2.22222222222222,92,"Robust"
"29","BRPE",1,"H1","Overflights","Transportation & service corridors",1.20675,3.28061854256854,0.625,1.875,2.8,3.72727272727273,97.6,"Robust"
"30","BRPE",2,"H2","Recreation","Human intrusions & disturbance",1.24541666666667,3.18695955988456,0.625,1.91666666666667,2.81818181818182,3.54545454545455,97.6,"Robust"
"31","BRPE",3,"H3","Fishery Equipment","Biological resource use",0.605666666666667,2.50233333333333,0.229166666666667,1.0625,2.16666666666667,2.83333333333333,61.3,"Highly Sensitive"
"32","BRPE",4,"H4","Overfishing","Biological resource use",2.08885416666667,2.00132604617605,1.25,3.02083333333333,1.55555555555556,2.41666666666667,69.4,"Highly Sensitive"
"33","BRPE",5,"H5","Native Predators","Invasive & other problematic species, genes & diseases",0.531333333333333,2.84617052669553,0.166666666666667,0.958333333333333,2,3.625,47.4,"Highly Sensitive"
"34","BRPE",6,"H6","Pinnipeds","Invasive & other problematic species, genes & diseases",0.16975,2.68079944207899,0.0416666666666667,0.333333333333333,2,3,90.2,"Robust"
"35","BRPE",7,"H7","Seabird Colonization","Invasive & other problematic species, genes & diseases",0.107729166666667,2.49789770368241,0,0.229166666666667,2,3.33333333333333,66.5,"Highly Sensitive"
"36","BRPE",8,"H8","Oil Platforms","Energy production & mining",0.2568125,2,0,0.625,2,2,81.2,"Moderately Sensitive"
"37","BRPE",9,"H9","Offshore Wind","Energy production & mining",1.54175,2.81231237373737,1.08333333333333,2,2.4,3.2,100,"Robust"
"38","BRPE",10,"H10","Shipping Traffic","Transportation & service corridors",0.547729166666667,1.65940725108225,0.1875,1,0.857142857142857,2.42857142857143,40.7,"Highly Sensitive"
"39","BRPE",11,"H11","Artificial Light","Pollution",0.2788125,1.49151136980614,0.0833333333333333,0.520833333333333,1,2,93.3,"Robust"
"40","BRPE",12,"H12","Invasive Plants","Invasive & other problematic species, genes & diseases",0.7555,2.82202467532468,0.479166666666667,1.02083333333333,2.54545454545455,3.1,92.7,"Robust"
"41","BRPE",13,"H13","Black Rats","Invasive & other problematic species, genes & diseases",1.009,4,0,2,4,4,63.2,"Highly Sensitive"
"42","BRPE",14,"H14","New Invasive Species","Invasive & other problematic species, genes & diseases",1.64208333333333,2.58558333333333,0.666666666666667,2.66666666666667,2,3.16666666666667,89.8,"Moderately Sensitive"
"43","BRPE",15,"H15","Oil Spills","Pollution",0.277354166666667,1.83375,0.0416666666666667,0.604166666666667,1.16666666666667,2.41666666666667,70.2,"Highly Sensitive"
"44","BRPE",16,"H16","Residual DDT","Pollution",0,2.66175,0,0,2,3.33333333333333,90.3,"Robust"
"45","BRPE",17,"H17","Contaminants","Pollution",0.4175,2.08738189033189,0.166666666666667,0.75,1.63636363636364,2.5,44.1,"Highly Sensitive"
"46","BRPE",18,"H18","Sea Level Rise","Climate change & severe weather",0.2115,2.40219399838638,0.0833333333333333,0.375,1.5,3.33333333333333,68.1,"Highly Sensitive"
"47","BRPE",19,"H19","Marine Productivity","Climate change & severe weather",0,1.99491666666667,0,0,1.5,2.5,66.2,"Highly Sensitive"
"48","BRPE",20,"H20","Sea Surface Temperature","Climate change & severe weather",0,2.16175,0,0,1.75,2.58333333333333,55.1,"Highly Sensitive"
"49","BRPE",21,"H21","Precipitation","Climate change & severe weather",1.049125,2.12121818181818,0.395833333333333,1.79166666666667,1.6,2.6,46.3,"Highly Sensitive"
