"species","hypothesis","code","name","iucn_name","mean_cvoi","mean_red","cvoi_lci","cvoi_uci","red_lci","red_uci","robustness_score","sensitivity_cat"
"ASSP",1,"H1","Overflights","Transportation & service corridors",0,NA,0,0,NA,NA,0,"Highly Sensitive"
"ASSP",2,"H2","Recreation","Human intrusions & disturbance",0.671998722089557,2.69062974724177,0.394736842105263,0.95,2.38413461538462,3,90.1,"Robust"
"ASSP",3,"H3","Fishery Equipment","Biological resource use",0.79741155268866,2.17564436409668,0.322649572649573,1.41021668227265,1.64473684210526,2.64026402640264,46.4,"Highly Sensitive"
"ASSP",4,"H4","Overfishing","Biological resource use",1.76274800732692,1.72006076026166,0.869893790849673,2.81630794701987,1.00329924795758,2.5952380952381,84.9,"Moderately Sensitive"
"ASSP",5,"H5","Native Predators","Invasive & other problematic species, genes & diseases",1.06405441888721,3.57041181602718,0.452261904761905,1.76315789473684,3.25,3.88235294117647,95,"Robust"
"ASSP",6,"H6","Pinnipeds","Invasive & other problematic species, genes & diseases",0,NA,0,0,NA,NA,0,"Highly Sensitive"
"ASSP",7,"H7","Seabird Colonization","Invasive & other problematic species, genes & diseases",0.308408927839017,1.26083484848485,0.0833333333333333,0.596153846153846,0.75,1.71428571428571,83.1,"Moderately Sensitive"
"ASSP",8,"H8","Oil Platforms","Energy production & mining",0.84890352066229,1.8975343685684,0.176470588235294,1.82401960784314,1.27398119122257,2.55309734513274,52,"Highly Sensitive"
"ASSP",9,"H9","Offshore Wind","Energy production & mining",1.90749717101728,2.5068453887255,1.28285947282676,2.56004975124378,2.18092497868713,2.8465635783693,92.8,"Robust"
"ASSP",10,"H10","Shipping Traffic","Transportation & service corridors",0.652415657326813,1.937034278106,0.00678294573643411,1.48177230046948,0.0754716981132075,2.98039215686275,28.2,"Highly Sensitive"
"ASSP",11,"H11","Artificial Light","Pollution",1.04895666124886,1.99595035693226,0.369268774703557,1.88235294117647,1.52631578947368,2.40058823529412,74.4,"Highly Sensitive"
"ASSP",12,"H12","Invasive Plants","Invasive & other problematic species, genes & diseases",0.448724083440284,2.64924615662116,0.181818181818182,0.764751838235294,2.28571428571429,2.90909090909091,54.8,"Highly Sensitive"
"ASSP",13,"H13","Black Rats","Invasive & other problematic species, genes & diseases",2.14076491306144,3.05498432692608,1.11213815789474,3.28345238095238,2.41642156862745,3.64705882352941,98.3,"Robust"
"ASSP",14,"H14","New Invasive Species","Invasive & other problematic species, genes & diseases",1.26822841614907,2.66109601736749,0.408636363636364,2.26315789473684,2.0952380952381,3.23809523809524,85.8,"Moderately Sensitive"
"ASSP",15,"H15","Oil Spills","Pollution",0.171661626520437,1.50374706969979,0.0263157894736842,0.382679738562091,0.90452380952381,2.125,94.7,"Robust"
"ASSP",16,"H16","Residual DDT","Pollution",0.265127480774949,2.63316344689253,0,0.607460560911481,1.86621082621083,3.37328339575531,66.1,"Highly Sensitive"
"ASSP",17,"H17","Contaminants","Pollution",0.621102072108795,1.75932086844494,0.0570940843297672,1.27049000404191,1.16595720747112,2.29563492063492,56,"Highly Sensitive"
"ASSP",18,"H18","Sea Level Rise","Climate change & severe weather",0.845599732171143,2.33809181698729,0.318181818181818,1.52173913043478,1.84166666666667,2.85,58.4,"Highly Sensitive"
"ASSP",19,"H19","Marine Productivity","Climate change & severe weather",0,1.99477264745507,0,0,1.5,2.52631578947368,76.2,"Moderately Sensitive"
"ASSP",20,"H20","Sea Surface Temperature","Climate change & severe weather",0,2.13002511147861,0,0,1.59077540106952,2.63704545454545,59.5,"Highly Sensitive"
"ASSP",21,"H21","Precipitation","Climate change & severe weather",0.0717748717325953,1.99525462962963,0,0.199203187250996,1,3,52.9,"Highly Sensitive"
"ASSP",22,"H22","Ambient Temperature","Climate change & severe weather",0.356504390419514,2.32553308080808,0.0713266761768902,0.714869069224786,1.5,3,37.7,"Highly Sensitive"
"ASSP",23,"H23","Marine Heat Waves","Climate change & severe weather",0,2.15073311610117,0,0,1.587991107585,2.70010525084785,57.9,"Highly Sensitive"
"ASSP",24,"H24","Storm Events","Climate change & severe weather",0.93002639034158,1.98797789160037,0.232478454359409,1.79568100089901,1.26629387766666,2.71428571428571,55.3,"Highly Sensitive"
"ASSP",25,"H25","Wind","Climate change & severe weather",0,1.77770051229526,0,0,1.36543209876543,2.24263459928082,93.9,"Robust"
"ASSP",26,"H26","Harmful Algal Blooms","Invasive & other problematic species, genes & diseases",0.325277997549512,1.67214302213616,0,0.880281690140845,1.21679022836938,2.17404092071611,70.9,"Highly Sensitive"
"ASSP",27,"H27","Disease","Invasive & other problematic species, genes & diseases",0.534556082152647,2.47839586415077,0.167623347853246,1.03529798422436,1.87116336633663,3.09578170833151,43,"Highly Sensitive"
"ASSP",28,"H28","Parasites","Invasive & other problematic species, genes & diseases",0.0848631821476325,1.82282013294227,0,0.241626794258373,1.32915841220926,2.32236842105263,89.7,"Moderately Sensitive"
"BRPE",1,"H1","Overflights","Transportation & service corridors",1.06176284769264,3.25143865991567,0.5625,1.575,2.68421052631579,3.75059523809524,97.9,"Robust"
"BRPE",2,"H2","Recreation","Human intrusions & disturbance",1.23370646663353,3.14341571934332,0.612083333333333,1.95871212121212,2.78236714975845,3.5,98.9,"Robust"
"BRPE",3,"H3","Fishery Equipment","Biological resource use",0.585675631693111,2.52871943674287,0.184210526315789,1.1328781512605,2.19952380952381,2.9,58.4,"Highly Sensitive"
"BRPE",4,"H4","Overfishing","Biological resource use",2.3950989880778,2.06154429028,1.2659829151861,3.73695516811955,1.50245658383054,2.59840425531915,65.2,"Highly Sensitive"
"BRPE",5,"H5","Native Predators","Invasive & other problematic species, genes & diseases",0.571061082775285,2.93493082738555,0.159031100478469,1.02631578947368,2,3.78571428571429,58.3,"Highly Sensitive"
"BRPE",6,"H6","Pinnipeds","Invasive & other problematic species, genes & diseases",0.146111256643459,2.71383803883804,0.0217391304347826,0.318181818181818,2,3,87.9,"Moderately Sensitive"
"BRPE",7,"H7","Seabird Colonization","Invasive & other problematic species, genes & diseases",0.116414850847891,2.69751625210757,0,0.249335106382979,2,3.6,64.3,"Highly Sensitive"
"BRPE",8,"H8","Oil Platforms","Energy production & mining",0.142179225327817,2,0,0.397473560517039,2,2,85.6,"Moderately Sensitive"
"BRPE",9,"H9","Offshore Wind","Energy production & mining",1.46886555434718,2.9204392597792,1.00240769829439,2.00003117206983,2.38365127886888,3.49423673437905,98.2,"Robust"
"BRPE",10,"H10","Shipping Traffic","Transportation & service corridors",0.666367366142338,2.01010435639817,0.00701085448744625,1.47712418300654,0.0740740740740741,2.9841332580463,25.2,"Highly Sensitive"
"BRPE",11,"H11","Artificial Light","Pollution",0.19683470238155,1.50777825732509,0.0416666666666667,0.4,1,2,97.3,"Robust"
"BRPE",12,"H12","Invasive Plants","Invasive & other problematic species, genes & diseases",0.768020339474636,2.89052860267191,0.486111111111111,1.0477380952381,2.57894736842105,3.19047619047619,96.3,"Robust"
"BRPE",13,"H13","Black Rats","Invasive & other problematic species, genes & diseases",0.61473784130461,4,0,1.41176470588235,4,4,60.6,"Highly Sensitive"
"BRPE",14,"H14","New Invasive Species","Invasive & other problematic species, genes & diseases",1.43260309443832,2.57852615868898,0.57111801242236,2.50119047619048,2.09090909090909,3.1,85,"Moderately Sensitive"
"BRPE",15,"H15","Oil Spills","Pollution",0.193674849713046,1.80690783313152,0.0238095238095238,0.406332236842105,1.11081871345029,2.5,80.8,"Moderately Sensitive"
"BRPE",16,"H16","Residual DDT","Pollution",0,2.59703343986278,0,0,1.78974278036778,3.33550352086937,77.2,"Moderately Sensitive"
"BRPE",17,"H17","Contaminants","Pollution",0.452111099900474,2.01655207719039,0.0593406593406594,0.91830985915493,1.44784402409591,2.49754891325786,26,"Highly Sensitive"
"BRPE",18,"H18","Sea Level Rise","Climate change & severe weather",0.145874646131769,2.65038476053005,0.0434782608695652,0.263157894736842,1.5,3.5,76.8,"Moderately Sensitive"
"BRPE",19,"H19","Marine Productivity","Climate change & severe weather",0,2.10279541495824,0,0,1.56215277777778,2.63636363636364,64.1,"Highly Sensitive"
"BRPE",20,"H20","Sea Surface Temperature","Climate change & severe weather",0,2.25747352781172,0,0,1.699375,2.77272727272727,56.1,"Highly Sensitive"
"BRPE",21,"H21","Precipitation","Climate change & severe weather",1.07861234271343,2.19228696581197,0.436600110926234,1.84655448717949,1.6,2.75,47.6,"Highly Sensitive"
"BRPE",22,"H22","Ambient Temperature","Climate change & severe weather",0.367712317133331,2.3795745513903,0.115384615384615,0.666666666666667,1.90909090909091,2.9094696969697,45.7,"Highly Sensitive"
"BRPE",23,"H23","Marine Heat Waves","Climate change & severe weather",0,2.01001354132418,0,0,1.5,2.5,73.7,"Highly Sensitive"
"BRPE",24,"H24","Storm Events","Climate change & severe weather",0.435715887365797,2.68603603955003,0.176252875655815,0.762910798122066,1.99457504520796,3.32565870856012,47.4,"Highly Sensitive"
"BRPE",25,"H25","Wind","Climate change & severe weather",0,1.64069593734661,0,0,1.27898550724638,2,99.6,"Robust"
"BRPE",26,"H26","Harmful Algal Blooms","Invasive & other problematic species, genes & diseases",0.325686177576216,1.92253340143077,0.0226019382299371,0.815217391304348,1.3598228566206,2.49382813729795,61.5,"Highly Sensitive"
"BRPE",27,"H27","Disease","Invasive & other problematic species, genes & diseases",0.657038157552157,2.77343253007742,0.266666666666667,1.08333333333333,2.30730769230769,3.1875,77.6,"Moderately Sensitive"
"BRPE",28,"H28","Parasites","Invasive & other problematic species, genes & diseases",0.0910558796533288,1.99827940367546,0.00123152709359606,0.247596153846154,1.54110697593907,2.42331712249615,79.5,"Moderately Sensitive"
"CAAU",1,"H1","Overflights","Transportation & service corridors",0,NA,0,0,NA,NA,0,"Highly Sensitive"
"CAAU",2,"H2","Recreation","Human intrusions & disturbance",0.800579045152845,2.15623626298861,0.465711231982357,1.19341038562664,1.71428571428571,2.60284086083153,58.6,"Highly Sensitive"
"CAAU",3,"H3","Fishery Equipment","Biological resource use",0.64027901386201,2.32946723677049,0.292282942995296,1.04949678806159,1.64989360778183,2.97619047619048,50.3,"Highly Sensitive"
"CAAU",4,"H4","Overfishing","Biological resource use",1.45646304442184,1.97668594515284,0.450051241844706,2.61113523573201,1,2.95147964899178,65.8,"Highly Sensitive"
"CAAU",5,"H5","Native Predators","Invasive & other problematic species, genes & diseases",1.03305887853547,3.01195814022579,0.452380952380952,1.685,2.38095238095238,3.57894736842105,93.5,"Robust"
"CAAU",6,"H6","Pinnipeds","Invasive & other problematic species, genes & diseases",0.0857616714597752,2.98211831429045,0,0.1875,2,4,88.6,"Moderately Sensitive"
"CAAU",7,"H7","Seabird Colonization","Invasive & other problematic species, genes & diseases",0.432618346145517,1.04311252913753,0.156153549382716,0.75,0.4,1.75138888888889,57.5,"Highly Sensitive"
"CAAU",8,"H8","Oil Platforms","Energy production & mining",0.988621681866306,2.00730990072918,0.150698602794411,2.10714285714286,1.45450420722653,2.57142857142857,45.2,"Highly Sensitive"
"CAAU",9,"H9","Offshore Wind","Energy production & mining",1.25362660436227,2.5177765704816,0.583596783139212,2,2.11111111111111,2.99337748344371,87.1,"Moderately Sensitive"
"CAAU",10,"H10","Shipping Traffic","Transportation & service corridors",0.779813348266277,1.97108405209004,0.008753167134196,1.77471953313708,0.0566037735849057,2.97368421052632,30.5,"Highly Sensitive"
"CAAU",11,"H11","Artificial Light","Pollution",1.25427399829058,1.89104022477351,0.607048872180451,1.96953125,1.38065476190476,2.3125,86.9,"Moderately Sensitive"
"CAAU",12,"H12","Invasive Plants","Invasive & other problematic species, genes & diseases",0.714413663453205,2.56231142649061,0.333114035087719,1.16666666666667,2.23506787330317,2.875,82.2,"Moderately Sensitive"
"CAAU",13,"H13","Black Rats","Invasive & other problematic species, genes & diseases",1.51113401272211,3.34844196075289,0.530516431924883,2.68724614326237,2.57990002437853,3.91411042944785,95.9,"Robust"
"CAAU",14,"H14","New Invasive Species","Invasive & other problematic species, genes & diseases",1.59841290627587,2.74944198947767,0.473684210526316,2.85714285714286,2.11764705882353,3.33333333333333,88.4,"Moderately Sensitive"
"CAAU",15,"H15","Oil Spills","Pollution",0.188037267984424,1.66682252295778,0.0277046783625731,0.412009803921568,0.928571428571429,2.38944444444444,86.2,"Moderately Sensitive"
"CAAU",16,"H16","Residual DDT","Pollution",0.420313336004521,2.41583951215884,0.10989010989011,0.833913187541418,1.5098963945706,3.29893440211211,36.9,"Highly Sensitive"
"CAAU",17,"H17","Contaminants","Pollution",0.952902863378812,2.19443230536088,0.103515625,1.859375,1.34866935483871,2.98592402616711,37.7,"Highly Sensitive"
"CAAU",18,"H18","Sea Level Rise","Climate change & severe weather",0.568283758465047,2.65339621816952,0.157894736842105,1.11111111111111,2.14285714285714,3.05921568627451,56.9,"Highly Sensitive"
"CAAU",19,"H19","Marine Productivity","Climate change & severe weather",0,2.32946436018832,0,0,1.82297794117647,2.82352941176471,65.5,"Highly Sensitive"
