"","expert","category","hypothesis","code","name","species","rel_a","rel_b","mag","red","conf"
"1","ex1","Disturbance",1,"H1","Overflights","ASSP",0,NA,NA,NA,2
"2","ex1","Disturbance",1,"H1","Overflights","BRPE",0,NA,NA,NA,2
"3","ex1","Disturbance",1,"H1","Overflights","SCMU",0,NA,NA,NA,2
"4","ex1","Disturbance",1,"H1","Overflights","SNPL",0,NA,NA,NA,2
"5","ex1","Disturbance",1,"H1","Overflights","WEGU",0,NA,NA,NA,2
"6","ex1","Disturbance",1,"H1","Overflights","CAAU",0,NA,NA,NA,2
"7","ex1","Disturbance",2,"H2","Recreation","ASSP",0,NA,NA,NA,2
"8","ex1","Disturbance",2,"H2","Recreation","BRPE",0,NA,NA,NA,1
"9","ex1","Disturbance",2,"H2","Recreation","SCMU",0,NA,NA,NA,2
"10","ex1","Disturbance",2,"H2","Recreation","SNPL",0,NA,NA,NA,1
"11","ex1","Disturbance",2,"H2","Recreation","WEGU",0,NA,NA,NA,1
"12","ex1","Disturbance",2,"H2","Recreation","CAAU",0,NA,NA,NA,2
"13","ex1","Fisheries",3,"H3","Fishery Equipment","ASSP",0,NA,NA,NA,2
"14","ex1","Fisheries",3,"H3","Fishery Equipment","BRPE",1,1,0,2,2
"15","ex1","Fisheries",3,"H3","Fishery Equipment","SCMU",0,NA,NA,NA,2
"16","ex1","Fisheries",3,"H3","Fishery Equipment","SNPL",0,NA,NA,NA,2
"17","ex1","Fisheries",3,"H3","Fishery Equipment","WEGU",1,1,0,1,1
"18","ex1","Fisheries",3,"H3","Fishery Equipment","CAAU",0,NA,NA,NA,2
"19","ex1","Fisheries",4,"H4","Overfishing","ASSP",0,NA,NA,NA,1
"20","ex1","Fisheries",4,"H4","Overfishing","BRPE",0,NA,NA,NA,1
"21","ex1","Fisheries",4,"H4","Overfishing","SCMU",0,NA,NA,NA,1
"22","ex1","Fisheries",4,"H4","Overfishing","SNPL",0,NA,NA,NA,1
"23","ex1","Fisheries",4,"H4","Overfishing","WEGU",0,NA,NA,NA,1
"24","ex1","Fisheries",4,"H4","Overfishing","CAAU",0,NA,NA,NA,2
"25","ex1","Harmful native species interactions",5,"H5","Native Predators","ASSP",1,1,0,2,1
"26","ex1","Harmful native species interactions",5,"H5","Native Predators","BRPE",0,NA,NA,NA,1
"27","ex1","Harmful native species interactions",5,"H5","Native Predators","SCMU",1,1,0,2,1
"28","ex1","Harmful native species interactions",5,"H5","Native Predators","SNPL",1,1,0,2,1
"29","ex1","Harmful native species interactions",5,"H5","Native Predators","WEGU",0,NA,NA,NA,1
"30","ex1","Harmful native species interactions",5,"H5","Native Predators","CAAU",1,1,0,2,1
"31","ex1","Harmful native species interactions",6,"H6","Pinnipeds","ASSP",0,NA,NA,NA,2
"32","ex1","Harmful native species interactions",6,"H6","Pinnipeds","BRPE",0,NA,NA,NA,2
"33","ex1","Harmful native species interactions",6,"H6","Pinnipeds","SCMU",0,NA,NA,NA,2
"34","ex1","Harmful native species interactions",6,"H6","Pinnipeds","SNPL",1,1,0,2,2
"35","ex1","Harmful native species interactions",6,"H6","Pinnipeds","WEGU",0,NA,NA,NA,2
"36","ex1","Harmful native species interactions",6,"H6","Pinnipeds","CAAU",0,NA,NA,NA,2
"37","ex1","Harmful native species interactions",7,"H7","Seabird Colonization","ASSP",0,NA,NA,NA,2
"38","ex1","Harmful native species interactions",7,"H7","Seabird Colonization","BRPE",0,NA,NA,NA,2
"39","ex1","Harmful native species interactions",7,"H7","Seabird Colonization","SCMU",0,NA,NA,NA,2
"40","ex1","Harmful native species interactions",7,"H7","Seabird Colonization","SNPL",0,NA,NA,NA,2
"41","ex1","Harmful native species interactions",7,"H7","Seabird Colonization","WEGU",0,NA,NA,NA,2
"42","ex1","Harmful native species interactions",7,"H7","Seabird Colonization","CAAU",0,NA,NA,NA,2
"43","ex1","Human infrastructure",8,"H8","Oil Platforms","ASSP",0,NA,NA,NA,1
"44","ex1","Human infrastructure",8,"H8","Oil Platforms","BRPE",0,NA,NA,NA,2
"45","ex1","Human infrastructure",8,"H8","Oil Platforms","SCMU",0,NA,NA,NA,1
"46","ex1","Human infrastructure",8,"H8","Oil Platforms","SNPL",0,NA,NA,NA,1
"47","ex1","Human infrastructure",8,"H8","Oil Platforms","WEGU",0,NA,NA,NA,2
"48","ex1","Human infrastructure",8,"H8","Oil Platforms","CAAU",0,NA,NA,NA,1
"49","ex1","Human infrastructure",9,"H9","Offshore Wind","ASSP",0,NA,NA,NA,1
"50","ex1","Human infrastructure",9,"H9","Offshore Wind","BRPE",0,NA,NA,NA,1
"51","ex1","Human infrastructure",9,"H9","Offshore Wind","SCMU",0,NA,NA,NA,1
"52","ex1","Human infrastructure",9,"H9","Offshore Wind","SNPL",0,NA,NA,NA,1
"53","ex1","Human infrastructure",9,"H9","Offshore Wind","WEGU",0,NA,NA,NA,1
"54","ex1","Human infrastructure",9,"H9","Offshore Wind","CAAU",0,NA,NA,NA,1
"55","ex1","Human infrastructure",10,"H10","Shipping Traffic","ASSP",0,NA,NA,NA,1
"56","ex1","Human infrastructure",10,"H10","Shipping Traffic","BRPE",0,NA,NA,NA,1
"57","ex1","Human infrastructure",10,"H10","Shipping Traffic","SCMU",0,NA,NA,NA,1
"58","ex1","Human infrastructure",10,"H10","Shipping Traffic","SNPL",0,NA,NA,NA,1
"59","ex1","Human infrastructure",10,"H10","Shipping Traffic","WEGU",0,NA,NA,NA,1
"60","ex1","Human infrastructure",10,"H10","Shipping Traffic","CAAU",0,NA,NA,NA,1
"61","ex1","Human infrastructure",11,"H11","Artificial Light","ASSP",0,NA,NA,NA,2
"62","ex1","Human infrastructure",11,"H11","Artificial Light","BRPE",0,NA,NA,NA,1
"63","ex1","Human infrastructure",11,"H11","Artificial Light","SCMU",0,NA,NA,NA,2
"64","ex1","Human infrastructure",11,"H11","Artificial Light","SNPL",0,NA,NA,NA,1
"65","ex1","Human infrastructure",11,"H11","Artificial Light","WEGU",0,NA,NA,NA,1
"66","ex1","Human infrastructure",11,"H11","Artificial Light","CAAU",0,NA,NA,NA,2
"67","ex1","Invasive species",12,"H12","Invasive Plants","ASSP",0,NA,NA,NA,2
"68","ex1","Invasive species",12,"H12","Invasive Plants","BRPE",0,NA,NA,NA,1
"69","ex1","Invasive species",12,"H12","Invasive Plants","SCMU",1,1,0,1,1
"70","ex1","Invasive species",12,"H12","Invasive Plants","SNPL",0,NA,NA,NA,1
"71","ex1","Invasive species",12,"H12","Invasive Plants","WEGU",0,NA,NA,NA,1
"72","ex1","Invasive species",12,"H12","Invasive Plants","CAAU",1,1,0,1,1
"73","ex1","Invasive species",13,"H13","Black Rats","ASSP",0,NA,NA,NA,1
"74","ex1","Invasive species",13,"H13","Black Rats","BRPE",0,NA,NA,NA,2
"75","ex1","Invasive species",13,"H13","Black Rats","SCMU",0,NA,NA,NA,1
"76","ex1","Invasive species",13,"H13","Black Rats","SNPL",0,NA,NA,NA,1
"77","ex1","Invasive species",13,"H13","Black Rats","WEGU",0,NA,NA,NA,2
"78","ex1","Invasive species",13,"H13","Black Rats","CAAU",0,NA,NA,NA,2
"79","ex1","Invasive species",14,"H14","New Invasive Species","ASSP",2,4,0,0,1
"80","ex1","Invasive species",14,"H14","New Invasive Species","BRPE",1,4,2,0,1
"81","ex1","Invasive species",14,"H14","New Invasive Species","SCMU",2,4,0,0,1
"82","ex1","Invasive species",14,"H14","New Invasive Species","SNPL",1,4,2,0,1
"83","ex1","Invasive species",14,"H14","New Invasive Species","WEGU",1,4,2,0,1
"84","ex1","Invasive species",14,"H14","New Invasive Species","CAAU",2,4,0,0,1
"85","ex1","Pollution",15,"H15","Oil Spills","ASSP",2,0,0,0,1
"86","ex1","Pollution",15,"H15","Oil Spills","BRPE",2,0,0,0,1
"87","ex1","Pollution",15,"H15","Oil Spills","SCMU",2,0,0,0,1
"88","ex1","Pollution",15,"H15","Oil Spills","SNPL",2,0,0,0,1
"89","ex1","Pollution",15,"H15","Oil Spills","WEGU",2,0,0,0,1
"90","ex1","Pollution",15,"H15","Oil Spills","CAAU",2,0,0,0,1
"91","ex1","Pollution",16,"H16","Residual DDT","ASSP",1,4,0,1,1
"92","ex1","Pollution",16,"H16","Residual DDT","BRPE",2,4,0,1,1
"93","ex1","Pollution",16,"H16","Residual DDT","SCMU",1,4,0,1,1
"94","ex1","Pollution",16,"H16","Residual DDT","SNPL",1,4,0,1,1
"95","ex1","Pollution",16,"H16","Residual DDT","WEGU",1,4,1,1,1
"96","ex1","Pollution",16,"H16","Residual DDT","CAAU",1,4,1,1,1
"97","ex1","Pollution",17,"H17","Contaminants","ASSP",1,0,2,0,1
"98","ex1","Pollution",17,"H17","Contaminants","BRPE",0,NA,NA,NA,1
"99","ex1","Pollution",17,"H17","Contaminants","SCMU",0,NA,NA,NA,1
"100","ex1","Pollution",17,"H17","Contaminants","SNPL",0,NA,NA,NA,1
"101","ex1","Pollution",17,"H17","Contaminants","WEGU",1,0,2,2,1
"102","ex1","Pollution",17,"H17","Contaminants","CAAU",0,NA,NA,NA,1
"103","ex1","Projected climate change impacts",18,"H18","Sea Level Rise","ASSP",1,1,1,1,2
"104","ex1","Projected climate change impacts",18,"H18","Sea Level Rise","BRPE",0,NA,NA,NA,2
"105","ex1","Projected climate change impacts",18,"H18","Sea Level Rise","SCMU",0,NA,NA,NA,2
"106","ex1","Projected climate change impacts",18,"H18","Sea Level Rise","SNPL",2,0,1,1,2
"107","ex1","Projected climate change impacts",18,"H18","Sea Level Rise","WEGU",0,NA,NA,NA,2
"108","ex1","Projected climate change impacts",18,"H18","Sea Level Rise","CAAU",0,NA,NA,NA,2
"109","ex1","Projected climate change impacts",19,"H19","Marine Productivity","ASSP",1,0,2,1,2
"110","ex1","Projected climate change impacts",19,"H19","Marine Productivity","BRPE",1,0,1,2,2
"111","ex1","Projected climate change impacts",19,"H19","Marine Productivity","SCMU",1,0,2,1,2
"112","ex1","Projected climate change impacts",19,"H19","Marine Productivity","SNPL",1,0,1,1,1
"113","ex1","Projected climate change impacts",19,"H19","Marine Productivity","WEGU",1,0,1,2,1
