"","species","category","hypothesis","code","name","iucn_name","n_ex_total","num_experts_rel","cvoi_mean","cvoi_lci","cvoi_uci","red_mean","red_lci","red_uci","rel_a_mean","rel_a_lci","rel_a_uci","rel_b_mean","rel_b_lci","rel_b_uci","rel_both_mean","rel_both_lci","rel_both_uci","mag_mean","mag_lci","mag_uci"
"1","SNPL","Disturbance",1,"H1","Overflights","Transportation & service corridors",12,8,0.770833333333333,0,2.25,3,1.35,4,0.666666666666667,0,1,1.75,0,3,0.4375,0,0.75,1.16666666666667,0,3
"2","SNPL","Disturbance",2,"H2","Recreation","Human intrusions & disturbance",12,11,1.8125,0,4.5,3,2,4,2.16666666666667,0.55,3.45,2.66666666666667,1.1,3.45,1.60416666666667,0.4125,3.0375,1.16666666666667,0,2.45
"3","SNPL","Fisheries",3,"H3","Fishery Equipment","Biological resource use",12,3,0.229166666666667,0,1,0.666666666666667,0.1,1,0.25,0,1,0.25,0,1,0.0625,0,0.25,0.916666666666667,0,4
"4","SNPL","Fisheries",4,"H4","Overfishing","Biological resource use",12,2,0.145833333333333,0,0.8625,1,0.1,1.9,0.166666666666667,0,1,0.25,0,1.45,0.0625,0,0.3625,0.416666666666667,0,2.45
"5","SNPL","Harmful native species interactions",5,"H5","Native Predators","Invasive & other problematic species, genes & diseases",12,12,1.3125,0,3,3.16666666666667,1.55,4,2.33333333333333,1,3,2.08333333333333,1,3,1.25,0.25,1.8375,1,0,2
"6","SNPL","Harmful native species interactions",6,"H6","Pinnipeds","Invasive & other problematic species, genes & diseases",12,12,0.6875,0,2,2.83333333333333,1.1,4,2.08333333333333,1,3.45,1.5,1,2.45,0.75,0.25,1.5,1,0,2
"7","SNPL","Harmful native species interactions",7,"H7","Seabird Colonization","Invasive & other problematic species, genes & diseases",12,2,0.0625,0,0.337499999999999,2,2,2,0.166666666666667,0,1,0.0833333333333333,0,0.449999999999999,0.0208333333333333,0,0.1125,0.583333333333333,0,3.45
"8","SNPL","Human infrastructure",8,"H8","Oil Platforms","Energy production & mining",12,3,0.104166666666667,0,0.6125,1.33333333333333,1,1.9,0.25,0,1,0.166666666666667,0,1,0.0416666666666667,0,0.25,0.666666666666667,0,3
"9","SNPL","Human infrastructure",9,"H9","Offshore Wind","Energy production & mining",12,3,0.270833333333333,0,1.225,2.33333333333333,2,2.9,0.25,0,1,0.416666666666667,0,2,0.104166666666667,0,0.5,0.666666666666667,0,3
"10","SNPL","Human infrastructure",10,"H10","Shipping Traffic","Transportation & service corridors",12,1,0.0416666666666667,0,0.225,1,1,1,0.0833333333333333,0,0.449999999999999,0.0833333333333333,0,0.449999999999999,0.0208333333333333,0,0.1125,0.166666666666667,0,0.899999999999999
"11","SNPL","Human infrastructure",11,"H11","Artificial Light","Pollution",12,4,0.354166666666667,0,1.425,1.75,1.15,2,0.333333333333333,0,1,0.5,0,1.9,0.125,0,0.475,0.916666666666667,0,3
"12","SNPL","Invasive species",12,"H12","Invasive Plants","Invasive & other problematic species, genes & diseases",12,9,0.708333333333333,0,2.575,2.88888888888889,2,4,1.33333333333333,0,3,1.75,0,3,0.833333333333333,0,2.25,0.833333333333333,0,2
"13","SNPL","Invasive species",13,"H13","Black Rats","Invasive & other problematic species, genes & diseases",12,9,1.60416666666667,0,6,3.11111111111111,1,4,1.83333333333333,0,3.45,2.66666666666667,0,4,1.70833333333333,0,3.45,0.833333333333333,0,2.45
"14","SNPL","Invasive species",14,"H14","New Invasive Species","Invasive & other problematic species, genes & diseases",12,12,1.89583333333333,0,7.3125,2.66666666666667,0.55,4,2.66666666666667,1.55,4,3.41666666666667,2.55,4,2.3125,1,4,0.833333333333333,0,2.45
"15","SNPL","Pollution",15,"H15","Oil Spills","Pollution",12,11,0.416666666666667,0,2.3,1.72727272727273,0,3.5,2.16666666666667,0.55,4,1.33333333333333,0,2.45,0.854166666666667,0,2.1125,0.333333333333333,0,1.45
"16","SNPL","Pollution",16,"H16","Residual DDT","Pollution",12,10,0.0833333333333333,0,0.5,2.6,1,4,0.916666666666667,0,1.45,0.5,0,2.35,0.125,0,0.5875,1.75,0,3.45
"17","SNPL","Pollution",17,"H17","Contaminants","Pollution",12,11,0.291666666666667,0,0.949999999999999,2,0.5,3,1.16666666666667,0.55,2.45,0.5,0,1.45,0.125,0,0.3625,2.33333333333333,1.1,3
"18","SNPL","Projected climate change impacts",18,"H18","Sea Level Rise","Climate change & severe weather",12,12,0.416666666666667,0,1.225,2.25,1,3.45,2.16666666666667,1.55,3,0.666666666666667,0,1.45,0.375,0,1.0875,1.33333333333333,0.55,2
"19","SNPL","Projected climate change impacts",19,"H19","Marine Productivity","Climate change & severe weather",12,10,0,0,0,1.9,0.45,3.55,1.5,0,3,0,0,0,0,0,0,1.16666666666667,0,2.45
"20","SNPL","Projected climate change impacts",20,"H20","Sea Surface Temperature","Climate change & severe weather",12,11,0,0,0,2,0.5,3.5,1.58333333333333,0.55,3,0,0,0,0,0,0,1.41666666666667,0,2.45
"21","SNPL","Projected climate change impacts",21,"H21","Precipitation","Climate change & severe weather",12,6,0.541666666666667,0,2.85,2.16666666666667,1,3,0.666666666666667,0,1.9,0.583333333333333,0,2.45,0.270833333333333,0,1.2875,0.916666666666667,0,2.45
"22","SNPL","Projected climate change impacts",22,"H22","Ambient Temperature","Climate change & severe weather",12,11,0.208333333333333,0,0.8625,2.18181818181818,1,3.5,1.33333333333333,0.55,2.45,0.416666666666667,0,1.45,0.104166666666667,0,0.3625,1.83333333333333,0,3
"23","SNPL","Projected climate change impacts",23,"H23","Marine Heat Waves","Climate change & severe weather",12,9,0,0,0,2.11111111111111,1,3.6,1.16666666666667,0,2.45,0,0,0,0,0,0,1.5,0,3
"24","SNPL","Projected climate change impacts",24,"H24","Storm Events","Climate change & severe weather",12,12,0.791666666666667,0,3.2625,2,0.55,4,2.16666666666667,1,3,0.666666666666667,0,2.45,0.458333333333333,0,1.8375,1.83333333333333,1,3
