"","species","category","hypothesis","code","name","iucn_name","n_ex_total","num_experts_rel","cvoi_mean","cvoi_lci","cvoi_uci","red_mean","red_lci","red_uci","rel_a_mean","rel_a_lci","rel_a_uci","rel_b_mean","rel_b_lci","rel_b_uci","rel_both_mean","rel_both_lci","rel_both_uci","mag_mean","mag_lci","mag_uci"
"1","WEGU","Disturbance",1,"H1","Overflights","Transportation & service corridors",12,10,0.9375,0,2.25,3.2,1.45,4,1,0,2,2.5,0,3,0.75,0,1.5,1.08333333333333,0,3
"2","WEGU","Disturbance",2,"H2","Recreation","Human intrusions & disturbance",12,11,1.22916666666667,0,3.675,3.18181818181818,2,4,1.58333333333333,0.55,2,2.75,1.1,3.45,1.1875,0.4125,1.725,1,0,2.45
"3","WEGU","Fisheries",3,"H3","Fishery Equipment","Biological resource use",12,12,0.625,0,1.725,2.33333333333333,1,3.45,1.58333333333333,1,2.45,1.91666666666667,1,3,0.75,0.25,1.225,0.833333333333333,0,2
"4","WEGU","Fisheries",4,"H4","Overfishing","Biological resource use",12,10,1.27083333333333,0,3,2,1,3,1.25,0,2,1.75,0,3,0.666666666666667,0,1.225,1.58333333333333,0,3
"5","WEGU","Harmful native species interactions",5,"H5","Native Predators","Invasive & other problematic species, genes & diseases",12,9,0.625,0,1.8375,3.11111111111111,1,4,1.16666666666667,0,2.45,1.41666666666667,0,3,0.583333333333333,0,1.5625,0.916666666666667,0,2
"6","WEGU","Harmful native species interactions",6,"H6","Pinnipeds","Invasive & other problematic species, genes & diseases",12,4,0.208333333333333,0,1,3,2.15,3.85,0.416666666666667,0,1.45,0.75,0,2.45,0.25,0,0.949999999999999,0.416666666666667,0,2
"7","WEGU","Harmful native species interactions",7,"H7","Seabird Colonization","Invasive & other problematic species, genes & diseases",12,6,0.3125,0,0.8625,1.33333333333333,0,3.5,0.5,0,1,0.5,0,1.45,0.125,0,0.3625,1.41666666666667,0,3.45
"8","WEGU","Human infrastructure",8,"H8","Oil Platforms","Energy production & mining",12,8,0.583333333333333,0,1.8375,1.875,1,3,0.75,0,1.45,0.833333333333333,0,2.45,0.208333333333333,0,0.6125,1.66666666666667,0,3
"9","WEGU","Human infrastructure",9,"H9","Offshore Wind","Energy production & mining",12,10,1.25,0,3,2.8,2,4,1.16666666666667,0,2,1.58333333333333,0,2.45,0.541666666666667,0,1.225,1.83333333333333,0,3
"10","WEGU","Human infrastructure",10,"H10","Shipping Traffic","Transportation & service corridors",12,6,0.416666666666667,0,1.5,1.66666666666667,0.25,3,0.5,0,1,0.583333333333333,0,2,0.145833333333333,0,0.5,1.5,0,3.45
"11","WEGU","Human infrastructure",11,"H11","Artificial Light","Pollution",12,8,0.833333333333333,0,1.8375,1.875,1,2.65,0.666666666666667,0,1,1.41666666666667,0,3,0.354166666666667,0,0.75,1.66666666666667,0,3
"12","WEGU","Invasive species",12,"H12","Invasive Plants","Invasive & other problematic species, genes & diseases",12,9,0.5,0,1.5,2.77777777777778,2,3.6,1.08333333333333,0,2,1.75,0,3,0.666666666666667,0,1.5,0.75,0,2
"13","WEGU","Invasive species",13,"H13","Black Rats","Invasive & other problematic species, genes & diseases",12,11,2.04166666666667,0,5.175,3,1,4,1.33333333333333,0.55,2.45,3.16666666666667,0.55,4,1.14583333333333,0.1375,2.1125,1.66666666666667,0,3
"14","WEGU","Invasive species",14,"H14","New Invasive Species","Invasive & other problematic species, genes & diseases",12,12,1.25,0,3.675,2.66666666666667,0.55,4,2.08333333333333,1,3.45,3.41666666666667,2.55,4,1.8125,0.775,3.45,0.916666666666667,0,2.45
"15","WEGU","Pollution",15,"H15","Oil Spills","Pollution",12,12,0.270833333333333,0,1.2875,1.83333333333333,0,3.45,2.16666666666667,1,3.45,1.33333333333333,0,2.45,0.75,0,2.1125,0.333333333333333,0,1
"16","WEGU","Pollution",16,"H16","Residual DDT","Pollution",12,11,0.4375,0,1.9,2.72727272727273,0.5,4,1.33333333333333,0.55,2,0.75,0,2.9,0.270833333333333,0,1,1.66666666666667,0.55,3
"17","WEGU","Pollution",17,"H17","Contaminants","Pollution",12,12,0.791666666666667,0,3.675,2.16666666666667,0.55,3.45,1.66666666666667,1,2.45,0.666666666666667,0,2.45,0.291666666666667,0,1.225,2.41666666666667,2,3
"18","WEGU","Projected climate change impacts",18,"H18","Sea Level Rise","Climate change & severe weather",12,5,0.25,0,1,2.4,1,3.8,0.583333333333333,0,2,0.416666666666667,0,1.45,0.166666666666667,0,0.725,0.666666666666667,0,2
